idiom,def
a bird in the hand is worth two in the bush,having something that is certain is much better than taking a risk for more because chances are you might lose everything
a blessing in disguise,something good that isnt recognized at first
a chip on your shoulder,being upset for something that happened in the past
a dime a dozen,anything that is common and easy to get
a doubting thomas,a skeptic who needs personal evidence in order to believe something
a doubting thomas,a skeptic who needs physical evidence in order to believe something
a drop in the bucket,a very small part of something big
a drop in the bucket,a very small part of something whole
a fool and his money are easily parted,its easy for a foolish person to lose her money
a fool and his money are easily parted,its easy for a foolish person to lose his money
a house divided against itself cannot stand,everyone involved must unify and function together or it will not work out
a leopard cant change his spots,you cannot change who you are
a penny saved is a penny earned,by not spending money you are saving money
a picture paints a thousand words,a visual presentation is far more descriptive than words
a piece of cake,a task that can be accomplished very easily
a slap on the wrist,a very mild punishment
a taste of your own medicine,when you are mistreated the same way you mistreat others
a tossup,a result that is still unclear and can go either way
actions speak louder than words,its better to actually do something than just talk about it
add fuel to the fire,whenever something is done to make a bad situation even worse than it is
against the clock,rushed and short on time
all bark and no bite,when someone is aggressive but not willing to engage in a fight
all bark and no bite,when someone is threatening but not willing to engage in a fight
all bark and no bite,when someone is threatening and aggressive but not willing to engage in a fight
all greek to me,meaningless and incomprehensible
all in the same boat,when  everyone is facing the same challenges
an arm and a leg,very expensive a large amount of money
an axe to grind,to have a dispute with someone
apple of my eye,someone who is cherished above all others
as high as a kite,anything that is high up in the sky
at the drop of a hat,willing to do something immediately
back seat driver,people who criticize from the sidelines much like someone giving unwanted advice from the back seat of a vehicle to the driver
back to square one,having to start all over again
back to the drawing board,when an attempt fails and its time to start all over
barking up the wrong tree,a mistake made in something you are trying to achieve
beat a dead horse,to force an issue that has already ended
beating around the bush,avoiding the main topic not speaking directly about the issue
bend over backwards,do whatever it takes to help willing to do anything
between a rock and a hard place,stuck between two very bad options
bite off more than you can chew,to take on a task that is way to big
bite your tongue,to avoid talking
blood is thicker than water,the family bond is closer than anything else
blue moon,a rare event
blue moon,a rare occurance
break a leg,good luck
buy a lemon,to purchase a vehicle that constantly gives problems
cant cut the mustard,someone who isnt adequate enough to participate
cant cut the mustard,someone who isnt adequate enough to compete
cast iron stomach,someone who has no problems with eating anything
cast iron stomach,someone who has no problems with drinking anything
cast iron stomach,someone who has no complications with eating anything
cast iron stomach,someone who has no complications with drinking anything
cast iron stomach,someone who has no ill effects with eating anything
cast iron stomach,someone who has no ill effects with drinking anything
cast iron stomach,someone who has no problems complications effects with eating anything
cast iron stomach,someone who has no problems complications effects with drinking anything
cast iron stomach,someone who has no problems ill effects with eating anything
cast iron stomach,someone who has no problems ill effects with drinking anything
charley horse,stiffness in the leg
charley horse,a leg cramp
chew someone out,verbally scold someone
chip on his shoulder,angry today about something that occured in the past
chow down,to eat
close but no cigar,to be very near and almost accomplish a goal but fall short
come hell or high water,any difficult obstacle
come hell or high water,any difficult situation
crack someone up,to make someone laugh
